connector,status_message,link_name
1,पसंद आई हो यह बात पते की तो शेयर करें...,
2,शिक्षा क्षेत्र में कई अव्यवस्थाओं के चलते सुर्खियों में रहने वाला बिहार अब एक महिला कॉलेज के नए फरमान...,"बिहार: कॉलेज में जींस, पटियाला सूट, मोबाइल बैन"
3,"इटली में होगी Virat Kohli, Anushka Sharma की शादी?","इटली में होगी विराट कोहली, अनुष्का शर्मा की शादी?"
4,अलकायदा से जुड़े कश्मीरी ग्रुप ने राज्य के मुसलमानों से जिहाद में शामिल होने का आह्वान...,कश्मीर में बाबरी विध्वंस का बदला लेने की धमकी
5,सुबह तक जिस सुन्नी वक्फ बोर्ड ने सिब्बल के बयान से किनारा कर लिया था शाम होते-होते वह...,"सुन्नी वक्फ बोर्ड अपने बयान से पलटा, कहा-सिब्बल से सहमत"
6,यूके तक जुड़े हैं दाऊद की कंपनी के पैसों के तार,यूके तक जुड़े हैं दाऊद की कंपनी के पैसों के तार
7,डिजिटल पेमेंट्स को बढ़ावा देने के लिए इस पर लगने वाले चार्ज को कम या खत्म करने पर विचार...,डेबिट कार्ड ट्रांजैक्शन पर RBI देगा बड़ी राहत!
8,आरोपियों ने गलत नाम बताकर युवती से दोस्ती की और फिर मिलने के बहाने सिनेमा हॉल में...,"पहचान छिपाकर की युवती से दोस्ती, फिर गैंगरेप"
9,"अयोध्या विवाद: कपिल सिब्बल की दलील से सुन्नी वक्फ बोर्ड ने किया किनारा, प्रधानमंत्री Narendra Modi ने की तारीफ",अयोध्या विवाद: कपिल सिब्बल की दलील से सुन्नी वक्फ बोर्ड ने किय...
10,भारत ने ये सभी 9 सीरीज विराट कोहली की अगुआई में जीती हैं और...,भारत ने की ऑस्ट्रेलिया के जीत के वर्ल्ड रेकॉर्ड की बराबरी
11,"जम्मू-कश्मीर: सेना को मिली बड़ी कामयाबी, अमरनाथ हमले के गुनहगार मुठभेड़ में ढेर","जम्मू-कश्मीर: सेना को मिली बड़ी कामयाबी, अमरनाथ हमले के गुनहगा..."
12,मोदी सरकार में HRD स्टेट मिनिस्टर उपेंद्र कुशवाहा ने कहा कि मौजूदा व्यवस्था में...,कुछ खास घरानों के लोग ही बनते हैं जज: केंद्रीय मंत्री
13,यह मॉनेटरी अलाउंस 1 अगस्त से लागू होगा...,सेनाः वीरता पुरस्कार विजेताओं को अब मिलेगी दोगुनी रकम
14,हम अयोध्या मसले का जल्द से जल्द समाधान चाहते हैं: सुन्नी वक़्फ़ बोर्ड,हम अयोध्या मसले का जल्द से जल्द समाधान चाहते हैं: सुन्नी वक़्फ़ ...
15,अमेरिका में बढ़ रही निराश्रय लोगों की संख्या,अमेरिका में बढ़ रही निराश्रय लोगों की संख्या
16,ऐंटी-अतिक्रमण दल के इस कदम का बिग बॉस के स्टाफ ने काफी विरोध किया लेकिन...,"Bigg Boss के सेट पर चला बुल्डोजर, गिरे 13 अवैध टॉइलट"
17,कैलिफ़ोर्निया के जंगलों में आग से लोगों का पलायन हुआ शुरू,कैलिफ़ोर्निया के जंगलों में आग से लोगों का पलायन हुआ शुरू
18,दांत दिखाने वाली सेल्फी लेने के बाद सुर्खियों में इस बंदर को...,'पर्सन ऑफ द इयर' बना गया यह सेल्फी वाला बंदर
19,"गुजरात के मुख्यमंत्री विजय रूपाणी को BJP की लकी सीट पर इस बार मिलेगी तगड़ी टक्कर? देखिए क्या कह रहे हैं वोटर...

#ElectionWithTimes",देखिए: रूपाणी की राजकोट सीट पर कैसा है वोटर्स का मिजाज
20,"FB_LIVE फिल्म Udanchhoo के ट्रेलर लॉन्च के मौके पर Rajniesh Duggall , प्रेम चोपड़ा और आशुतोष राणा से खास बातचीत #udanchhoo #rajnieshduggal #premchopra #video #fblive",
21,उत्तर कोरिया और अमेरिका के बीच तनाव चरम पर है...,"कोरियाई प्रायद्वीप में बढ़ा तनाव, US जंगी जहाजों ने भरी उड़ान"
22,इस सवाल पर एक बार फिर Sonakshi Sinha की हाजिरजवाबी नजर आई...,कैटफाइट पर सोनाक्षी ने रखी अपनी बेबाक राय
23,Shraddha Kapoor ने बताया कि राज और डीके की हॉरर कॉमिडी में राजकुमार राव और...,पहली बार नजर साथ आएंगे राजकुमार और श्रद्धा कपूर
24,"दलील पर चौतरफा घिरे सिब्बल, सुन्नी बोर्ड ने ही किया किनारा। देखें, देश-दुनिया की बड़ी खबरें...","दलील पर चौतरफा घिरे सिब्बल, सुन्नी बोर्ड ने ही किया किनारा। दे..."
25,फिल्म 'बादशाहो' में अपनी जबरदस्त केमिस्ट्री दिखाने के बाद एक बार फिर इलियाना और अजय...,फिल्म 'रेड' में दिखेगी फिर इलियाना-अजय की जोड़ी
26,फोर्टिस केसः अस्पताल के खिलाफ हरियाणा सरकार करेगी FIR,फोर्टिस केसः अस्पताल के खिलाफ हरियाणा सरकार करेगी FIR
